id_tweet,text,created_at,url_tweet,id_track,name,popularity,artists_id,artists_name,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mode
1542361036254314497,Mooski Track Star,2022-06-30 04:15:01.000,https://twitter.com/author/status/1542361036254314497,5hChuUMe5iHfjkXgzj1D4b,Track Star,63,{4NqH3V7GS0Igs1VyGMXEi8},{Mooski},0.641,0.598,7,-5.7,0.324,0.381,0,0.0921,0.285,131.459,199706,5,0.0
1542361013261144067,The Five Stairsteps O O H Child ,2022-06-30 04:14:55.000,https://twitter.com/author/status/1542361013261144067,74JdR9aXE6I74oS1BVRsvb,O-o-h Child,65,{3Inrg8cs8oc4q8oPES4a6S},{The Five Stairsteps},0.488,0.754,5,-7.95,0.0381,0.00154,2.42e-05,0.678,0.664,88.368,197160,4,0.0
1542361005069828096,KNIFE ,2022-06-30 04:14:53.000,https://twitter.com/author/status/1542361005069828096,2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk (with 21 Savage ft. Project Pat),86,"{3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft,08Ld63UgKrJ0nZnCkzHtzc}","{Drake,21 Savage,Project Pat}",0.849,0.424,5,-9.579,0.324,0.0635,0,0.0834,0.153,145.887,242966,4,0.0
1542360979123707904, Stevie Wonder Signed sealed delivered I m Yours ,2022-06-30 04:14:47.000,https://twitter.com/author/status/1542360979123707904,2eF8pWbiivYsYRpbntYsnc,"Signed, Sealed, Delivered (I'm Yours)",76,{7guDJrEfX3qb6FEbdPA5qi},{Stevie Wonder},0.675,0.597,5,-11.329,0.0337,0.0534,0,0.0986,0.828,108.875,161160,4,1.0
1542360977802375169,The Black Keys Howlin For You Brothers ,2022-06-30 04:14:47.000,https://twitter.com/author/status/1542360977802375169,0grFc6klR3hxoHLcgCYsF4,Howlin' for You,66,{7mnBLXK823vNxN3UWB7Gfz},{The Black Keys},0.705,0.735,11,-6.646,0.0931,0.028,0.0783,0.112,0.448,132.627,191800,4,1.0
1542360926522834946,Jimmy Dludlu Mr Gove ,2022-06-30 04:14:35.000,https://twitter.com/author/status/1542360926522834946,6FrCCB9DDtDR6R9QNJILyP,Mr. Gove,3,"{6vjSe2s28Kipl73F9tWhWh,74hgk6uyfQgqA8oUu3ajOF,5h3EQ5OSIV0LKCulKDd327}","{Jimmy Dludlu,Albano Gove,Thapelo Motshegwe}",0.562,0.702,6,-8.918,0.126,0.477,0.375,0.454,0.659,93.473,285536,4,1.0
1542360852216819714, Hey Say JUMP ,2022-06-30 04:14:17.000,https://twitter.com/author/status/1542360852216819714,6GLWDOZGPFO2hq2qMHByEp,群青ランナウェイ(ドラマ 准教授・高槻彰良の推察season1主題歌)(オリジナル:Hey! Say! JUMP)(アコースティック&エレクトリックピアノDUO),18,{3eZFse0r8FS0Vsl67i0SYe},{スイートピアノ・メロディーズ},0.617,0.411,11,-12.796,0.0333,0.975,0.904,0.106,0.379,120.019,328849,4,0.0
1542360847909277698,CANDY ,2022-06-30 04:14:16.000,https://twitter.com/author/status/1542360847909277698,32lItqlMi4LBhb4k0BaSaC,Candy Paint,77,{246dkjvS1zLTtiykXe5h60},{Post Malone},0.664,0.667,4,-5.941,0.154,0.64,1.22e-06,0.0753,0.381,180.064,227533,4,1.0
1542360835062140928, Indigo Waltz ,2022-06-30 04:14:13.000,https://twitter.com/author/status/1542360835062140928,1qDviS96QAiZbxlNNLAcqB,Indigo Waltz,28,{45JvI0rkPkFFL14Cj0eput},{Toshinobu Kubota},0.675,0.318,0,-13.402,0.048,0.494,0,0.0752,0.262,119.813,331173,3,1.0
1542360813020651521, via ,2022-06-30 04:14:08.000,https://twitter.com/author/status/1542360813020651521,5AoHrlhxMpHmFDAL7DdLAj,Viajeros,72,"{3jGlU8UMMo44I2xeLQ6FD3,6xLvSuN3p2uD8IorXxYmHg}","{Dalmata,ELYSANIJ}",0.851,0.646,2,-5.304,0.0615,0.0689,3.24e-06,0.0721,0.588,92.994,202282,4,0.0
1542360787871842304,Stereo MC s Luke Alessi Matter ,2022-06-30 04:14:02.000,https://twitter.com/author/status/1542360787871842304,33C66nxbtZ7Q9qmL91BzOW,Matter,15,"{3Foat3c8Ui3HkvZghZAzQp,1k8VBufn1nBs8LN9n4snc8}","{Luke Alessi,Stereo MC's}",0.7,0.85,11,-10.076,0.0532,8.14e-06,0.69,0.142,0.0936,122.029,271455,4,0.0
1542360749770567680,Steven Curtis Chapman Much Of You,2022-06-30 04:13:53.000,https://twitter.com/author/status/1542360749770567680,0f8lI5EoOM8qvKXKlqj01C,Much Of You,17,{3vcFXwLEUdfWMu7gTQKyot},{Steven Curtis Chapman},0.231,0.829,0,-4.257,0.0369,0.00424,0,0.106,0.436,101.277,291782,4,1.0
